"","Object","velocity","orbits","size"
"146","(2000 RE52)",7.6163125,16,210
"147","(2000 RF52)",5.58,1,94
"148","(2000 RJ12)",4.2966,1,210
"149","(2000 RN12)",9.69473333333333,3,590
"150","(2000 SF8)",6.46505,4,520
"151","(2000 SG344)",1.5593,6,68
"152","(2000 SG8)",20.4538,1,1900
"153","(2000 SL10)",5.1646,1,250
"154","(2000 SM10)",8.08258571428571,14,90
"155","(2000 SZ162)",3.28755,4,21
"156","(2000 TH1)",6.5627,4,180
"157","(2000 TL1)",4.40538181818182,11,120
"158","(2000 TU28)",6.46180909090909,22,410
"159","(2000 UK11)",4.5496375,16,52
"160","(2000 UO30)",6.08065,4,99
"161","(2000 UR16)",8.2863,2,99
"162","(2000 UY33)",8.31383529411765,17,210
"163","(2000 WC1)",6.83385882352941,17,220
"164","(2000 WG10)",4.6283,2,120
"165","(2000 WL63)",6.9967,8,620
"166","(2000 WM63)",7.26082,20,450
"167","(2000 WO148)",3.60426666666667,6,430
"168","(2000 WP19)",5.75537142857143,35,170
"169","(2000 YA)",8.37465,8,110
"170","(2000 YG4)",3.6704,2,410
"171","(2000 YS134)",5.43828571428571,7,140
"172","(2001 AV43)",3.75011428571429,7,71
"173","(2001 BA16)",2.7621,4,38
"174","(2001 BB16)",3.32413,20,140
"175","(2001 BC16)",5.4622,1,99
"176","(2001 BD16)",14.3481777777778,9,710
"177","(2001 BE16)",14.6437111111111,18,650
"178","(2001 BF10)",6.30185714285714,7,180
"179","(2001 BP61)",7.3222,1,540
"180","(2001 BX15)",9.59553333333333,15,280
"181","(2001 CP36)",6.58653125,32,110
"182","(2001 CQ36)",4.09500606060606,33,190
"183","(2001 DG47)",6.78435,4,150
"184","(2001 DZ76)",9.6472,1,52
"185","(2001 EC)",13.5759333333333,9,1200
"186","(2001 EC16)",6.35469,20,210
"187","(2001 ED18)",4.2222,8,75
"188","(2001 FA58)",13.6937333333333,3,310
"189","(2001 FC58)",6.91558333333333,24,490
"190","(2001 FF90)",11.0577,2,2600
"191","(2001 FO127)",3.8657,4,19
"192","(2001 FR85)",2.49747272727273,11,65
"193","(2001 FZ)",5.3568,1,380
"194","(2001 GM2)",10.29448,5,620
"195","(2001 GO2)",3.87655,16,82
"196","(2001 GP2)",2.9357,2,25
"197","(2001 GR2)",11.1586222222222,9,280
"198","(2001 GT2)",8.51811111111111,9,650
"199","(2001 HX7)",18.941,6,450
"200","(2001 JV1)",6.3271,10,310
"201","(2001 JW1)",10.9441272727273,11,540
"202","(2001 KD55)",5.766,2,450
"203","(2001 KF54)",9.238,3,520
"204","(2001 LD)",11.3920571428571,7,490
"205","(2001 LD6)",7.46686666666667,3,860
"206","(2001 MY7)",7.7934,1,250
"207","(2001 OE3)",4.8484,4,520
"208","(2001 OF25)",7.2168,1,310
"209","(2001 OT)",6.5968,15,280
"210","(2001 OV13)",4.3028,3,140
"211","(2001 PU9)",10.6206,1,780
"212","(2001 QC34)",3.392175,24,570
"213","(2001 QE34)",13.28908,5,940
"214","(2001 QE71)",5.18836666666667,6,78
"215","(2001 QG142)",11.78,2,1400
"216","(2001 QJ142)",2.13197333333333,30,110
"217","(2001 QJ96)",16.7730666666667,9,230
"218","(2001 QM142)",8.69446666666667,15,180
"219","(2001 QM163)",12.31196,5,650
"220","(2001 QN142)",8.3824,2,270
"221","(2001 QO142)",14.2569,8,820
"222","(2001 QP181)",4.99513333333333,3,1100
"223","(2001 RA18)",6.61746666666667,3,860
"224","(2001 RQ17)",4.76036,5,180
"225","(2001 SC170)",5.89496,10,490
"226","(2001 SD286)",9.6472,1,52
"227","(2001 SG286)",5.7880875,16,390
"228","(2001 SH276)",7.882525,24,710
"229","(2001 SQ263)",9.32551538461538,26,200
"230","(2001 SQ3)",9.15007272727273,22,280
"231","(2001 SS287)",8.7048,1,1300
